id_sp_region,idspecies,region
"18987","4995","Arabian Peninsula"
"18988","4991","Arabian Peninsula"
"18989","4993","Arabian Peninsula"
"18990","4970","Northern America"
"18991","5064","Southern America"
"19000","17349","Eastern Asia"
"19002","7165","Southern Africa"
"19004","7187","Southern America"
"19006","7211","Southern Africa"
"19007","7219","Southern Africa"
"19008","7227","Southern Africa"
"19009","7231","Europe"
"19010","7232","Southern Africa"
"19011","7242","Southern Africa"
"19012","7255","Southern Africa"
"19013","7262","Southern Africa"
"19014","7904","Australasia"
"19017","6603","Southern America"
"19018","6619","Southern America"
"19022","6804","Southern America"
"19024","6867","Southern America"
"19026","6937","Northern America"
"19028","7025","Northern America"
"19036","16934","Southern America"
"19042","20892","Arabian Peninsula"
"19046","21036","Arabian Peninsula"
"19047","21041","Arabian Peninsula"
"19049","21154","Southern America"
"19053","21252","Europe"
"19060","17668","Europe"
"19062","21657","Northern America"
"19065","21701","Northern America"
"19066","21719","Southern America"
"19069","22131","Europe"
"19070","22148","Macaronesia"
"19073","22223","Europe"
"19074","22252","Northern America"
"19075","22281","Northern America"
"19076","22306","Northern America"
"19088","22746","Arabian Peninsula"
"19089","22759","Arabian Peninsula"
"19090","23273","Northern America"
"19091","21664","Southern Africa"
"19092","21679","Eastern Asia"
"19097","21890","Southern America"
"19098","21934","Southern America"
"19100","21969","Northern America"
"19101","21999","Northern America"
"19102","22017","Australasia"
"19104","22033","Northern America"
"19105","22090","Arabian Peninsula"
"19106","22052","Europe"
"19107","22055","Europe"
"19110","22495","Northern America"
"19113","22730","Northern America"
"19114","22867","Southern America"
"19115","22875","Northern Africa"
"19116","22913","Northern America"
"19117","22902","Southern America"
"19119","22931","Southern Africa"
"19120","22932","Southern Africa"
"19121","22968","Africa"
"19122","23017","Northern America"
"19124","23087","Southern Africa"
"19125","23088","Europe"
"19128","23377","Northern Africa"
"19130","23603","Southern Africa"
"19131","23608","Europe"
"19132","23627","Africa"
"19134","23672","Southern Africa"
"19135","23675","Southern Africa"
"19138","23701","Northern America"
"19139","23704","Southern Africa"
"19140","23765","Northern America"
"19141","23762","Northern America"
"19142","23772","Northern America"
"19143","23783","Northern America"
"19144","23815","Southern America"
"19145","22975","Southern America"
"19146","23836","Southern America"
"19148","23861","Europe"
"19150","24013","Northern America"
"19151","24021","Southern America"
"19155","24054","Northern America"
"19156","24104","Europe"
"19157","24108","Northern America"
"19158","17353","Eastern Asia"
"19160","17367","Eastern Asia"
"19162","17373","Europe"
"19163","7900","Southern America"
"19164","6125","Northern America"
"19165","14914","Europe"
"19166","14933","Europe"
"19167","14951","Europe"
"19168","18238","Northern America"
"19169","18196","Northern America"
"19170","18213","Northern Africa"
"19171","18246","Southern Africa"
"19172","18208","Southern America"
"19175","17886","Europe"
"19176","17957","Europe"
"19179","15239","Europe"
"19181","15265","Arabian Peninsula"
"19182","15286","Europe"
"19184","15632","Arabian Peninsula"
"19187","15795","Arabian Peninsula"
"19190","16032","Southern America"
"19191","16070","Europe"
"19192","16078","Arabian Peninsula"
"19194","16094","Northern America"
"19195","16127","Europe"
"19196","16163","Europe"
"19197","16167","Europe"
"19199","16402","Arabian Peninsula"
"19200","16344","Northern America"
"19203","7277","Southern America"
"19207","7283","Northern America"
"19211","7308","Northern America"
"19213","7312","Northern Africa"
"19218","7323","Northern America"
"19221","12590","Southern America"
"19222","12601","Southern America"
"19225","12663","Southern America"
"19226","12669","Southern America"
"19227","12676","Africa"
"19228","12682","Europe"
"19230","21522","Europe"
"19230","21522","Northern Africa"
"19231","21538","Southern Africa"
"19233","15049","Europe"
"19233","15049","Northern Africa"
"19236","24214","Northern America"
"19238","7338","Arabian Peninsula"
"19239","7420","Europe"
"19240","7479","Arabian Peninsula"
"19241","7493","Arabian Peninsula"
"19242","7486","Europe"
"19243","7653","Europe"
"19243","7653","Arabian Peninsula"
"19244","7633","Europe"
"19246","7681","Europe"
"19247","7759","Europe"
"19248","7877","Europe"
"19248","7877","Northern Africa"
"19249","14899","Australasia"
"19250","14902","Australasia"
"19251","10101","Eastern Asia"
"19252","6229","Eastern Asia"
"19253","6259","Southwestern Europe"
"19255","6354","Australasia"
"19258","6464","Northern America"
"19259","6556","Southern America"
"19260","6595","Australasia"
"19261","6275","Australasia"
"19262","7139","Western Asia"
"19263","20155","Northern Africa"
"19264","20163","Northern Africa"
"19265","20174","Northern America"
"19266","20192","Western Asia"
"19268","20227","Australasia"
"19269","20238","Eastern Asia"
"19276","8697","Macaronesia"
"19277","8787","Africa"
"19279","8750","Southern Africa"
"19280","8763","Southern Africa"
"19281","8729","Southern Africa"
"19282","8793","Southern Africa"
"19283","8800","Africa"
"19284","8722","Southern Africa"
"19285","8826","Northern America"
"19286","8832","Northern America"
"19287","8862","Northern America"
"19288","8873","Northern America"
"19290","8896","Europe"
"19292","8889","Eastern Asia"
"19293","14698","Arabian Peninsula"
"19294","14702","Southern Africa"
"19295","14727","Africa"
"19296","14735","Western Asia"
"19298","14753","Northern America"
"19301","14737","Northern America"
"19304","14789","Northern America"
"19305","24284","Europe"
"19305","24284","Northern Africa"
"19305","24284","Western Asia"
"19305","24284","Arabian Peninsula"
"19309","17336","Eastern Asia"
"19313","10138","Eastern Asia"
"19315","10154","Northern America"
"19316","10305","Northern America"
"19321","10152","Northern America"
"19322","10232","Africa"
"19324","12729","Australasia"
"19326","12757","Australasia"
"19328","12740","Australasia"
"19330","12768","Southern Africa"
"19332","12784","Australasia"
"19334","12807","Australasia"
"19335","12810","Australasia"
"19336","12779","Australasia"
"19337","12842","Australasia"
"19338","11034","Northern America"
"19340","12616","Europe"
"19340","12616","Northern Africa"
"19341","12724","Europe"
"19341","12724","Northern Africa"
"19342","11160","Arabian Peninsula"
"19343","11359","Europe"
"19344","11449","Europe"
"19346","11486","Arabian Peninsula"
"19348","11557","Europe"
"19349","11589","Northern America"
"19350","11626","Southwestern Europe"
"19351","11689","Arabian Peninsula"
"19353","11807","Europe"
"19354","12873","Australasia"
"19355","11863","Northern America"
"19356","11870","Northern America"
"19357","11883","Northern Africa"
"19359","11928","Africa"
"19360","11936","Northern America"
"19362","11982","Northern America"
"19364","12020","Southern America"
"19365","12026","Europe"
"19365","12026","Northern Africa"
"19366","12103","Europe"
"19367","12238","Arabian Peninsula"
"19368","12261","Europe"
"19369","12327","Europe"
"19369","12327","Northern Africa"
"19370","12335","Arabian Peninsula"
"19371","12403","Europe"
"19372","12542","Europe"
"19373","12581","Eastern Asia"
"19374","12586","Eastern Asia"
"19375","14825","Europe"
"19375","14825","Arabian Peninsula"
"19376","14824","Eastern Asia"
"19377","14841","Europe"
"19378","14881","Northern America"
"19379","9386","Eastern Asia"
"19380","9448","Southern Africa"
"19381","9460","Southern Africa"
"19383","9076","Southern America"
"19384","9110","Europe"
"19385","10441","Europe"
"19386","10453","Europe"
"19386","10453","Northern Africa"
"19387","10472","Europe"
"19387","10472","Northern Africa"
"19388","9151","Southern America"
"19389","9161","Northern America"
"19390","17076","Europe"
"19391","17202","Eastern Asia"
"19394","14975","Northern America"
"19395","14978","Europe"
"19396","14990","Eastern Asia"
"19397","14983","Eastern Asia"
"19398","18535","Southern Africa"
"19400","18649","Europe"
"19402","18831","Arabian Peninsula"
"19403","18854","Eastern Asia"
"19404","18860","Europe"
"19404","18860","Northern Africa"
"19405","18892","Europe"
"19405","18892","Arabian Peninsula"
"19406","18900","Northern America"
"19407","18908","Europe"
"19407","18908","Northern Africa"
"19408","18926","Arabian Peninsula"
"19409","18949","Southern America"
"19410","18988","Europe"
"19410","18988","Northern Africa"
"19411","19028","Arabian Peninsula"
"19412","18828","Arabian Peninsula"
"19413","10404","Arabian Peninsula"
"19418","9520","Eastern Asia"
"19419","16613","Southern America"
"19421","16660","Europe"
"19421","16660","Northern Africa"
"19427","16658","Eastern Asia"
"19428","16675","Western Asia"
"19429","16722","Australasia"
"19430","16775","Northern Africa"
"19435","19516","Northern America"
"19438","12887","Eastern Asia"
"19439","12893","Europe"
"19439","12893","Northern Africa"
"19440","12902","Northern America"
"19441","12911","Eastern Asia"
"19442","12920","Arabian Peninsula"
"19443","19211","Australasia"
"19444","19209","Australasia"
"19445","19214","Australasia"
"19448","9559","Australasia"
"19449","9549","Australasia"
"19450","9551","Australasia"
"19451","9561","Australasia"
"19452","9527","Australasia"
"19453","8669","Africa"
"19455","553","Northern America"
"19456","19471","Europe"
"19456","19471","Northern Africa"
"19457","19483","Eastern Asia"
"19458","19487","Eastern Asia"
"19459","19492","Eastern Asia"
"19460","19494","Eastern Asia"
"19461","19502","Europe"
"19461","19502","Northern Africa"
"19462","19511","Europe"
"19465","9846","Southern America"
"19467","9894","Northern America"
"19469","9965","Northern America"
"19471","9967","Southern America"
"19473","10035","Northern America"
"19474","10036","Southern America"
"19476","10870","Southern America"
"19477","10874","Southern Africa"
"19478","10909","Southern America"
"19484","5592","Europe"
"19485","5614","Northern America"
"19487","5689","Western Asia"
"19489","8642","Northern America"
"19490","8650","Southern America"
"19491","21412","Eastern Asia"
"19492","6145","Europe"
"19493","8634","Southern Africa"
"19495","8029","Eastern Asia"
"19498","8125","Europe"
"19499","8170","Eastern Asia"
"19500","8196","Australasia"
"19501","8232","Eastern Asia"
"19502","8306","Eastern Asia"
"19503","8317","Northern America"
"19504","8418","Europe"
"19504","8418","Northern Africa"
"19506","8509","Europe"
"19506","8509","Northern Africa"
"19508","8537","Northern America"
"19509","7946","Northern America"
"19510","7968","Southern America"
"19511","6131","Australasia"
"19512","10083","Arabian Peninsula"
"19513","5879","Europe"
"19513","5879","Northern Africa"
"19515","15017","Arabian Peninsula"
"19517","13306","Eastern Asia"
"19518","13237","Eastern Asia"
"19519","13370","Arabian Peninsula"
"19520","13445","Arabian Peninsula"
"19521","13120","Eastern Asia"
"19522","13452","Eastern Asia"
"19526","13605","Southwestern Europe"
"19527","13629","Eastern Asia"
"19529","13784","Europe"
"19529","13784","Arabian Peninsula"
"19530","13812","Western Asia"
"19532","13848","Arabian Peninsula"
"19533","13928","Eastern Asia"
"19535","13904","Eastern Asia"
"19536","13913","Northern America"
"19537","13934","Eastern Asia"
"19538","13952","Eastern Asia"
"19539","13956","Eastern Asia"
"19542","14100","Europe"
"19545","14447","Eastern Asia"
"19547","14314","Eastern Asia"
"19548","13631","Northern America"
"19552","17028","Europe"
"19552","17028","Northern Africa"
"19553","16999","Eastern Asia"
"19555","17010","Eastern Asia"
"19556","16993","Eastern Asia"
"19557","10547","Europe"
"19558","10481","Europe"
"19559","10559","Northern America"
"19560","10565","Arabian Peninsula"
"19561","10586","Eastern Asia"
"19562","10711","Eastern Asia"
"19563","17132","Eastern Asia"
"19565","17506","Northern Africa"
"19566","9046","Eastern Asia"
"19568","19979","Europe"
"19569","19525","Northern America"
"19570","19944","Arabian Peninsula"
"19573","20045","Western Asia"
"19574","18222","Eastern Asia"
"19576","20349","Southern America"
"19578","20344","Southern America"
"19580","20351","Eastern Asia"
"19583","20401","Eastern Asia"
"19584","20411","Eastern Asia"
"19585","20400","Southern Africa"
"19586","20422","Southern America"
"19587","20437","Southern America"
"19589","20480","Northern America"
"19590","20484","Southern America"
"19591","20493","Europe"
"19592","20544","Southern America"
"19593","20560","Southern America"
"19594","20567","Northern America"
"19595","20578","Southern America"
"19597","20619","Southern America"
"19598","20623","Northern America"
"19599","20738","Southern America"
"19600","20643","Northern America"
"19601","20637","Southern America"
"19602","20651","Southern America"
"19603","20654","Southern America"
"19604","20655","Australasia"
"19605","20726","Africa"
"19607","20666","Southern America"
"19608","20701","Southern America"
"19609","20709","Southern America"
"19610","20715","Southern America"
"19611","20625","Northern America"
"19613","20719","Southern America"
"19614","20723","Southern America"
"19615","20753","Northern America"
"19616","20759","Southern America"
"19617","16624","Australasia"
"19618","7928","Europe"
"19620","14570","Europe"
"19620","14570","Northern Africa"
"19622","14580","Europe"
"19623","14541","Europe"
"19623","14541","Northern Africa"
"19624","19109","Southern America"
"19626","19127","Southern America"
"19629","19154","Southern America"
"19630","19161","Northern America"
"19631","19185","Europe"
"19631","19185","Northern Africa"
"19632","9197","Northern America"
"19633","9211","Eastern Asia"
"19634","9176","Northern America"
"19635","9234","Europe"
"19636","9227","Northern America"
"19637","9247","Northern America"
"19638","9225","Northern America"
"19639","9232","Northern America"
"19640","9223","Northern America"
"19642","9233","Northern America"
"21697","8607","Northern Europe"
"21769","4595","Egypt"
"100272","50114","North West Atlantic Ocean"
"100274","50116","Northern America"
"100276","50118","Europe"
"100283","50125","France"
"100285","50127","Europe"
"100296","50138","France"
"100296","50138","Scotland"
"100297","50139","Scotland"
"100301","50143","North West Atlantic Ocean"
"100303","50145","North West Atlantic Ocean"
"100307","50149",
"100313","53290","Europe"
"100314","50156",
"100315","50157","North West Atlantic Ocean"
"100317","50159",
"100327","50169",
"100330","50172",
"100339","50181",
"100343","1152","Ireland"
"100344","50186","Japan"
"100345","50187","Channel Is."
"100351","50193","North West Atlantic Ocean"
"100353","50195","Germany"
"100358","50200",
"100359","50201","North West Atlantic Ocean"
"100367","50209",
"100373","50215","France"
"100382","50224","France"
"100385","50227","France"
"100390","50232","Russian Far East"
"100390","50232","European part of Russia"
"100390","50232","East European Russia"
"100390","50232","North European Russia"
"100390","50232","South European Russia"
"100390","50232","Northwest European Russia"
"100391","50233","Northern America"
"100393","50235",
"100394","50236","France"
"100395","50237","North West Atlantic Ocean"
"100396","50238","North West Atlantic Ocean"
"100398","50240","Japan"
"100407","50249","North East Atlantic Ocean"
"100413","53448",
"100420","50261",
"100426","4832",
"100428","4823",
"100445","53401","Ukraine"
"100463","50302","Ukraine"
"100464","50303","Ukraine"
"100465","50304","Ukraine"
"100467","100707","Russian Far East"
"100467","100707","European part of Russia"
"100467","100707","East European Russia"
"100467","100707","North European Russia"
"100467","100707","South European Russia"
"100467","100707","Northwest European Russia"
"100516","50317",
"100519","50317",
"100559","50322","Portugal"
"100563","50322","France"
"100572","50323","Asia-Temperate"
"100572","50323","Western Asia"
"100572","50323","Palestine"
"100579","50323","Southern Africa"
"100583","50325","Africa"
"100583","50325","Northern Africa"
"100583","50325","Asia-Temperate"
"100583","50325","Arabian Peninsula"
"100583","50325","Egypt"
"100583","50325","Saudi Arabia"
"100630","50346","Sweden"
"100650","50352","Italy"
"100661","50357","Finland"
"100661","50357","Norway"
"100661","50357","Sweden"
"100664","50357","Sweden"
"100676","50357","Middle Europe"
"100676","50357","Northern America"
"100676","50357","Netherlands"
"100702","50364","Asia-Temperate"
"100702","50364","Western Asia"
"100702","50364","Palestine"
"100718","50368","Africa"
"100718","50368","Macaronesia"
"100718","50368","Madeira"
"100719","50369","Portugal"
"100731","50374","Northern America"
"100732","50374","Northern America"
"100733","50374","Northern America"
"100734","50374","Northern America"
"100739","50374","Northern America"
"100740","50374","Northern America"
"100763","50378","Asia-Temperate"
"100763","50378","Western Asia"
"100763","50378","Palestine"
"100782","50382","Austria"
"100817","50390","Africa"
"100818","50390","Africa"
"100820","50390","Africa"
"100821","50390","Africa"
"100883","50418","Asia-Temperate"
"100883","50418","Western Asia"
"100883","50418","Palestine"
"100920","50425","Asia-Temperate"
"100920","50425","Western Asia"
"100920","50425","Palestine"
"100939","50429","West Tropical Africa"
"100942","50430","Scotland"
"100945","50432",
"100947","50432",
"100948","50432",
"100951","50432",
"100952","50432",
"100954","50432",
"100958","50432",
"100959","50432",
"100960","50432",
"100963","50432",
"100996","50445","Switzerland"
"101008","50446","Italy"
"101009","50446","Italy"
"101014","50446","Greece"
"101015","50446","Greece"
"101020","50446",
"101041","50448",
"101042","50448","Europe"
"101043","50448","Europe"
"101088","50460","Egypt"
"101118","50472","Asia-Temperate"
"101118","50472","Western Asia"
"101118","50472","Turkey (in Europe)"
"101119","50472","Middle Europe"
"101130","50474","Northern Africa"
"101158","50480","Africa"
"101158","50480","East Tropical Africa"
"101158","50480","Kenya"
"101159","50480","France"
"101160","50480","France"
"101163","50480","France"
"101165","50482","Northern America"
"101166","50482","Northern America"
"102503","50615","Great Britain"
"102618","50706","Tianjin"
"102656","50725","Hawaii"
"103261","50954","Yunnan"
"103322","50950","Italy"
"103324","50962",
"103381","50985","Western Canada"
"103381","50985","Northwestern U.S.A."
"103381","50985","Southwestern U.S.A."
"103397","50988","Northwestern U.S.A."
"103397","50988","North-Central U.S.A."
"103397","50988","Northeastern U.S.A."
"103397","50988","Southwestern U.S.A."
"103397","50988","South-Central U.S.A."
"103397","50988","Southeastern U.S.A."
"103397","50988","Mexico"
"103447","50962",
"103457","50962",
"103480","50962",
"103548","50985","Western Canada"
"103548","50985","Northwestern U.S.A."
"103548","50985","Southwestern U.S.A."
"103593","50962",
"103669","50962",
"103699","50985","Western Canada"
"103699","50985","Northwestern U.S.A."
"103699","50985","Southwestern U.S.A."
"103805","51097","Mediterranean Region"
"103855","51124","France"
"103855","51124","Spain"
"103857","51125","Spain"
"104072","51221","Northwestern U.S.A."
"104072","51221","North-Central U.S.A."
"104072","51221","Northeastern U.S.A."
"104072","51221","Southwestern U.S.A."
"104072","51221","South-Central U.S.A."
"104072","51221","Southeastern U.S.A."
"104090","51221","Northwestern U.S.A."
"104090","51221","North-Central U.S.A."
"104090","51221","Northeastern U.S.A."
"104090","51221","Southwestern U.S.A."
"104090","51221","South-Central U.S.A."
"104090","51221","Southeastern U.S.A."
"104603","51221","Northwestern U.S.A."
"104603","51221","North-Central U.S.A."
"104603","51221","Northeastern U.S.A."
"104603","51221","Southwestern U.S.A."
"104603","51221","South-Central U.S.A."
"104603","51221","Southeastern U.S.A."
"104881","51494","Brazil"
"105058","51221","Northwestern U.S.A."
"105058","51221","North-Central U.S.A."
"105058","51221","Northeastern U.S.A."
"105058","51221","Southwestern U.S.A."
"105058","51221","South-Central U.S.A."
"105058","51221","Southeastern U.S.A."
"105086","51543","Northwestern U.S.A."
"105086","51543","North-Central U.S.A."
"105086","51543","Northeastern U.S.A."
"105086","51543","Southwestern U.S.A."
"105086","51543","South-Central U.S.A."
"105086","51543","Southeastern U.S.A."
"105303","50985","Western Canada"
"105303","50985","Northwestern U.S.A."
"105303","50985","Southwestern U.S.A."
"105331","51221","Northwestern U.S.A."
"105331","51221","North-Central U.S.A."
"105331","51221","Northeastern U.S.A."
"105331","51221","Southwestern U.S.A."
"105331","51221","South-Central U.S.A."
"105331","51221","Southeastern U.S.A."
"105409","51470","Baltic States"
"105409","51470","North European Russia"
"105753","51221","Northwestern U.S.A."
"105753","51221","North-Central U.S.A."
"105753","51221","Northeastern U.S.A."
"105753","51221","Southwestern U.S.A."
"105753","51221","South-Central U.S.A."
"105753","51221","Southeastern U.S.A."
"105896","51221","Northwestern U.S.A."
"105896","51221","North-Central U.S.A."
"105896","51221","Northeastern U.S.A."
"105896","51221","Southwestern U.S.A."
"105896","51221","South-Central U.S.A."
"105896","51221","Southeastern U.S.A."
"106178","50985","Western Canada"
"106178","50985","Northwestern U.S.A."
"106178","50985","Southwestern U.S.A."
"106217","51221","Northwestern U.S.A."
"106217","51221","North-Central U.S.A."
"106217","51221","Northeastern U.S.A."
"106217","51221","Southwestern U.S.A."
"106217","51221","South-Central U.S.A."
"106217","51221","Southeastern U.S.A."
"106519","50985","Western Canada"
"106519","50985","Northwestern U.S.A."
"106519","50985","Southwestern U.S.A."
"106541","51221","Northwestern U.S.A."
"106541","51221","North-Central U.S.A."
"106541","51221","Northeastern U.S.A."
"106541","51221","Southwestern U.S.A."
"106541","51221","South-Central U.S.A."
"106541","51221","Southeastern U.S.A."
"106730","51221","Northwestern U.S.A."
"106730","51221","North-Central U.S.A."
"106730","51221","Northeastern U.S.A."
"106730","51221","Southwestern U.S.A."
"106730","51221","South-Central U.S.A."
"106730","51221","Southeastern U.S.A."
"107276","51943","Japan"
"107349","50673","East Himalaya"
"107349","50673","West Himalaya"
"107371","51961","Northwestern U.S.A."
"107371","51961","North-Central U.S.A."
"107371","51961","Northeastern U.S.A."
"107371","51961","Southwestern U.S.A."
"107371","51961","South-Central U.S.A."
"107371","51961","Southeastern U.S.A."
"107372","51543","Northwestern U.S.A."
"107372","51543","North-Central U.S.A."
"107372","51543","Northeastern U.S.A."
"107372","51543","Southwestern U.S.A."
"107372","51543","South-Central U.S.A."
"107372","51543","Southeastern U.S.A."
"107387","50811","Northwestern U.S.A."
"107387","50811","North-Central U.S.A."
"107387","50811","Northeastern U.S.A."
"107387","50811","Southwestern U.S.A."
"107387","50811","South-Central U.S.A."
"107387","50811","Southeastern U.S.A."
"107405","51349","Algeria"
"107405","51349","Morocco"
"107432","51221","Northwestern U.S.A."
"107432","51221","North-Central U.S.A."
"107432","51221","Northeastern U.S.A."
"107432","51221","Southwestern U.S.A."
"107432","51221","South-Central U.S.A."
"107432","51221","Southeastern U.S.A."
"107453","51973","Northwestern U.S.A."
"107453","51973","North-Central U.S.A."
"107453","51973","Northeastern U.S.A."
"107453","51973","Southwestern U.S.A."
"107453","51973","South-Central U.S.A."
"107453","51973","Southeastern U.S.A."
"107453","51973","Japan"
"107934","51543","Northwestern U.S.A."
"107934","51543","North-Central U.S.A."
"107934","51543","Northeastern U.S.A."
"107934","51543","Southwestern U.S.A."
"107934","51543","South-Central U.S.A."
"107934","51543","Southeastern U.S.A."
"107975","51221","Northwestern U.S.A."
"107975","51221","North-Central U.S.A."
"107975","51221","Northeastern U.S.A."
"107975","51221","Southwestern U.S.A."
"107975","51221","South-Central U.S.A."
"107975","51221","Southeastern U.S.A."
"108476","51221","Northwestern U.S.A."
"108476","51221","North-Central U.S.A."
"108476","51221","Northeastern U.S.A."
"108476","51221","Southwestern U.S.A."
"108476","51221","South-Central U.S.A."
"108476","51221","Southeastern U.S.A."
"108639","52096","Austria"
"108639","52096","Italy"
"108639","52096","Switzerland"
"109236","51221","Northwestern U.S.A."
"109236","51221","North-Central U.S.A."
"109236","51221","Northeastern U.S.A."
"109236","51221","Southwestern U.S.A."
"109236","51221","South-Central U.S.A."
"109236","51221","Southeastern U.S.A."
"109633","51221","Northwestern U.S.A."
"109633","51221","North-Central U.S.A."
"109633","51221","Northeastern U.S.A."
"109633","51221","Southwestern U.S.A."
"109633","51221","South-Central U.S.A."
"109633","51221","Southeastern U.S.A."
"109996","50985","Western Canada"
"109996","50985","Northwestern U.S.A."
"109996","50985","Southwestern U.S.A."
"110175","51221","Northwestern U.S.A."
"110175","51221","North-Central U.S.A."
"110175","51221","Northeastern U.S.A."
"110175","51221","Southwestern U.S.A."
"110175","51221","South-Central U.S.A."
"110175","51221","Southeastern U.S.A."
"110958","51221","Northwestern U.S.A."
"110958","51221","North-Central U.S.A."
"110958","51221","Northeastern U.S.A."
"110958","51221","Southwestern U.S.A."
"110958","51221","South-Central U.S.A."
"110958","51221","Southeastern U.S.A."
"111267","50985","Western Canada"
"111267","50985","Northwestern U.S.A."
"111267","50985","Southwestern U.S.A."
"111281","51221","Northwestern U.S.A."
"111281","51221","North-Central U.S.A."
"111281","51221","Northeastern U.S.A."
"111281","51221","Southwestern U.S.A."
"111281","51221","South-Central U.S.A."
"111281","51221","Southeastern U.S.A."
"111386","51543","Northwestern U.S.A."
"111386","51543","North-Central U.S.A."
"111386","51543","Northeastern U.S.A."
"111386","51543","Southwestern U.S.A."
"111386","51543","South-Central U.S.A."
"111386","51543","Southeastern U.S.A."
"111884","51221","Northwestern U.S.A."
"111884","51221","North-Central U.S.A."
"111884","51221","Northeastern U.S.A."
"111884","51221","Southwestern U.S.A."
"111884","51221","South-Central U.S.A."
"111884","51221","Southeastern U.S.A."
"112132","52495","Middle Europe"
"112132","52495","Southwestern Europe"
"112132","52495","Southeastern Europe"
"112147","52497","Austria"
"112147","52497","Italy"
"112147","52497","Switzerland"
"112277","52506","France"
"112338","50985","Western Canada"
"112338","50985","Northwestern U.S.A."
"112338","50985","Southwestern U.S.A."
"112346","52509","Italy"
"112367","51221","Northwestern U.S.A."
"112367","51221","North-Central U.S.A."
"112367","51221","Northeastern U.S.A."
"112367","51221","Southwestern U.S.A."
"112367","51221","South-Central U.S.A."
"112367","51221","Southeastern U.S.A."
"112865","52096","Austria"
"112865","52096","Italy"
"112865","52096","Switzerland"
"112886","50875","India"
"112886","50875","Kazakhstan"
"112886","50875","Nepal"
"112886","50875","Pakistan"
"112886","50875","Tadzhikistan"
"112970","51961","Northwestern U.S.A."
"112970","51961","North-Central U.S.A."
"112970","51961","Northeastern U.S.A."
